t,owner,stored_on,buyer,qty_kWh
33528,17,8,17,0.12796007175107138
33528,22,11,22,0.00469288402961876
33528,22,14,22,0.1582429520806995
33528,23,11,23,0.0223491138912566
33529,13,8,13,0.018996323494262946
33529,23,8,23,0.019733716965765424
33530,13,8,13,0.009709843046700277
33530,23,8,23,0.007875751322898777
33547,9,8,9,0.7274663686871574
33547,17,8,17,0.0320846980659625
33547,17,14,17,0.026332336343267038
33548,9,8,9,0.7547727580174013
33548,9,14,9,0.2433476889897758
33548,12,20,12,0.3267382840896925
33548,12,24,12,0.3163965107745494
33548,17,14,17,0.2225312716217802
33548,22,4,22,0.1617915405631578
33549,9,8,9,0.7344816144094423
33549,9,14,9,0.14178360589074232
33549,12,20,12,0.5596972389497623
33549,12,24,12,0.05490961798518628
33549,17,14,17,0.32648427342924347
33549,22,4,22,0.10087667959231972
33549,22,6,22,0.01347000724648752
33549,22,7,22,0.1608813142930255
33550,9,8,9,0.6048986224273019
33550,9,14,9,0.05679641374372446
33550,12,20,12,0.4722113148233832
33550,17,14,17,0.34920013450639953
33550,22,7,22,0.12836600997606595
33550,22,25,22,0.17484868556036767
33551,9,8,9,0.3938302763542793
33551,12,20,12,0.29479388016196245
33551,16,10,16,0.057699665310234564
33551,16,11,16,0.04020103873636254
33551,16,20,16,0.20163566048977982
33551,16,21,16,0.02593316967747472
33551,17,8,17,0.030781350247577513
33551,17,14,17,0.31654606697522425
33551,19,5,19,0.516689947424175
33551,22,24,22,0.2927356367219156
33551,22,25,22,0.015244749210470587
33552,16,8,16,0.007934309428238518
33552,17,8,17,0.28986119185711495
33552,19,20,19,0.06405935191731836
33552,22,11,22,0.29268129861360137
33553,22,8,22,0.00596168802635515
33560,23,8,23,0.0001914201584183317
33571,13,8,13,0.025575256569663196
33571,23,8,23,0.026854504994875406
33572,13,8,13,0.04230248048876728
33572,23,8,23,0.04236883070892894
33573,13,8,13,0.04381671114146801
33573,23,8,23,0.04377885745676213
33574,13,8,13,0.041625263702530724
33574,23,8,23,0.041644412717569246
33575,13,8,13,0.03634668677107733
33575,23,8,23,0.03650313916403647
33576,13,8,13,0.030927540020349475
33576,23,8,23,0.031224952214403245
33595,13,8,13,0.030311585144478848
33595,23,8,23,0.031143551912700573
33596,13,8,13,0.04067551633384703
33596,23,8,23,0.040719369643922754
33597,13,8,13,0.04178065276891729
33597,23,8,23,0.041730943303107004
33598,13,8,13,0.04106559026210821
33598,23,8,23,0.040969664012797224
33599,13,8,13,0.035838874638837837
33599,23,8,23,0.03594371936797547
33600,13,8,13,0.03261518151113929
33600,23,8,23,0.03273906254727432
33620,13,8,13,0.023220602554321346
33620,22,14,22,0.30191617691415085
33620,23,14,23,0.025014815031266124
33621,13,8,13,0.024985335833677347
33621,17,8,17,0.2504633347904869
33621,22,11,22,0.5430920244977545
33621,22,14,22,0.19455806332023526
33621,23,11,23,0.026668828472148576
33622,13,8,13,0.030988996788880563
33622,17,8,17,0.5797194023275628
33622,22,10,22,0.014510150373133968
33622,22,11,22,0.5998016989612986
33622,23,20,23,0.008586102941471552
33622,23,21,23,0.023541323103186636
33623,13,8,13,0.040934628016601415
33623,17,8,17,0.4342817009956016
33623,22,11,22,0.2793098682315307
33623,22,14,22,0.1473258919491535
33623,23,11,23,0.04103655804688344
33624,13,8,13,0.03487210401611929
33624,17,8,17,0.129164551618353
33624,22,14,22,0.17419331264896415
33624,23,14,23,0.03513172901510231
33625,13,8,13,0.0317082845647878
33625,23,8,23,0.03192057188258879
33644,9,8,9,0.6670518995063244
33644,9,14,9,0.22463581897721357
33644,12,20,12,0.00527682183848528
33644,17,14,17,0.141450751250086
33644,22,4,22,0.027795747146043936
33644,22,6,22,0.01223338167199456
33644,22,7,22,0.040736722113057504
33645,9,8,9,0.6626069611475163
33645,9,14,9,0.30132049409532774
33645,12,20,12,0.0637549386768546
33645,12,24,12,0.6053672063717599
33645,17,14,17,0.2593657152195359
33645,22,5,22,0.20632530907327862
33646,9,8,9,0.6330703457532367
33646,9,14,9,0.20568691133401407
33646,12,20,12,0.2700404322139422
33646,12,24,12,0.31490303130464253
33646,17,14,17,0.3500040759011487
33646,22,4,22,0.304909309757047
33647,9,8,9,0.37525947600401094
33647,9,14,9,0.22657579968221891
33647,12,20,12,0.42756753041249773
33647,17,11,17,0.11144207171045206
33647,17,14,17,0.2780923809556569
33647,22,7,22,0.3506690275341242
33648,9,8,9,0.21521264171735377
33648,12,10,12,0.028204910921133156
33648,12,11,12,0.08494055660354186
33648,12,20,12,0.04582572586907557
33648,12,21,12,0.012676724149491142
33648,13,20,13,0.019461273090748854
33648,16,11,16,0.08446875790298809
33648,17,8,17,0.1353774263952726
33648,17,14,17,0.24988471038663462
33648,19,4,19,0.2662826987687278
33648,19,6,19,0.011224190860378042
33648,19,7,19,0.060518632911107775
33648,22,24,22,0.35194707176870743
33648,23,24,23,0.020769921844220995
33649,13,8,13,0.02732939587100436
33649,17,8,17,0.09240431672355978
33649,22,14,22,0.12795311675573393
33649,23,14,23,0.027590767793941318
33650,13,8,13,0.024107103090725168
33650,23,8,23,0.024452291483351374
33651,13,8,13,0.022027390636337962
33651,23,8,23,0.022426675341058022
33652,13,8,13,0.02060547284906722
33652,23,8,23,0.021041743680513036
33653,13,8,13,0.006648304470000435
33653,23,8,23,0.004893847767848576
33668,17,8,17,0.2701004894442933
33668,22,20,22,0.22798362262945915
33669,17,8,17,0.31230903389093356
33669,22,20,22,0.2690887728396998
33670,17,8,17,0.3545267859145511
33670,22,20,22,0.31495710233340724
33671,9,8,9,0.050224440766049754
33671,13,14,13,0.021303499988422736
33671,17,8,17,0.2979786954478964
33671,17,14,17,0.09286090620431953
33671,19,24,19,0.10008537211944613
33671,22,20,22,0.35726496566107535
33671,23,20,23,0.022499413182953454
33672,13,8,13,0.01671876126748728
33672,17,8,17,0.28769069124687763
33672,19,20,19,0.10193005921074759
33672,22,10,22,0.026695146817511867
33672,22,11,22,0.1937584173949447
33672,22,20,22,0.09249144499452377
33672,22,21,22,0.011998159231277897
33672,23,20,23,0.018033930110167518
33673,17,8,17,0.03366227078691815
33673,22,8,22,0.06125196874490355
33679,13,8,13,0.00805328463193078
33679,23,8,23,0.007555870021609523
33680,13,8,13,0.011098079606705571
33680,23,8,23,0.009253804488439108
33694,17,8,17,0.13239131019133676
33694,22,20,22,0.062400671710950206
33695,9,8,9,0.3212051223145264
33695,17,8,17,0.09967156989628023
33695,19,7,19,0.38281229773657527
33695,22,20,22,0.03340135423287549
33696,9,8,9,0.2226702444965908
33696,17,8,17,0.09099807338818344
33696,19,7,19,0.07812118853804764
33696,19,24,19,0.05865447658094709
33696,19,25,19,0.2379231324024318
33696,22,20,22,0.029815665346427878
33697,9,8,9,0.04053289198819812
33697,17,8,17,0.16893050889286787
33697,19,24,19,0.21732478782679127
33697,22,20,22,0.12536299543953078
33698,17,8,17,0.15339029178709396
33698,19,20,19,0.0365955904715173
33698,22,11,22,0.1119385299843767
33699,17,8,17,0.02079881984937766
33699,22,8,22,0.05474131645712859
33717,9,8,9,0.07058693557957962
33717,15,24,15,0.0465646635941118
33718,9,8,9,0.4328361986942544
33718,9,14,9,0.39871273642219407
33718,12,5,12,0.4689511228853904
33718,15,4,15,0.5821544110633283
33718,15,6,15,0.012347914231794321
33718,15,7,15,0.10867798804894369
33718,16,24,16,0.15750985270586765
33718,16,25,16,0.17169663574497918
33719,9,8,9,0.41110343666113613
33719,9,10,9,0.03126448971568163
33719,9,14,9,0.3602382055446558
33719,9,20,9,0.07765216039654188
33719,9,21,9,0.022979692126031598
33719,12,5,12,0.5197596293019329
33719,15,4,15,0.5967384586910345
33719,15,5,15,0.029590651953009584
33719,15,6,15,0.012195068289001042
33719,15,7,15,0.03920970555581427
33719,16,7,16,0.1441979866454126
33719,16,24,16,0.028153538365914346
33719,16,25,16,0.21616239892751
33720,9,8,9,0.39949670662289033
33720,9,10,9,0.030591854405659938
33720,9,14,9,0.3524879131435406
33720,9,20,9,0.04713427898777578
33720,9,21,9,0.013749538178167937
33720,15,2,15,0.10582444368931941
33720,15,3,15,0.040116818453256764
33720,15,5,15,0.28568419864056555
33720,16,4,16,0.34755539875697744
33720,16,5,16,0.016580088764127865
33721,9,8,9,0.38168610880973913
33721,9,10,9,0.029523004356933225
33721,9,14,9,0.34017232357047666
33721,9,20,9,0.043536846286914226
33721,9,21,9,0.013269142503004653
33721,12,2,12,0.008320453873089972
33721,12,3,12,0.022269588377884533
33721,15,2,15,0.05042465334486401
33721,15,4,15,0.051079628781026946
33721,15,5,15,0.41477829058297433
33721,16,4,16,0.1389961505382722
33721,16,6,16,0.006730112553074358
33721,16,7,16,0.3621468134143507
33721,17,20,17,0.1974793288694663
33722,9,8,9,0.36593768688844497
33722,9,14,9,0.11944675618457633
33722,12,4,12,0.14204657312307176
33722,12,6,12,0.006548572331954032
33722,12,7,12,0.2032042270999137
33722,15,7,15,0.1733267921115893
33722,15,24,15,0.00979960818872634
33722,15,25,15,0.11607602936526501
33722,16,24,16,0.4247647407254464
33722,17,14,17,0.1784294567348237
33723,12,14,12,0.012422562879437972
33723,16,8,16,0.013235944630326247
33723,16,14,16,0.06004212453863409
33723,17,8,17,0.18120966965067264
33723,19,7,19,0.12221205813152636
33723,19,25,19,0.01775474480728456
33723,22,20,22,0.38254013425909417
33723,22,24,22,0.03134951957926644
33724,17,8,17,0.0801481749081982
33724,22,8,22,0.05682374362500271
33724,22,14,22,0.059157937328202896
33725,17,8,17,0.03630129829094138
33725,22,8,22,0.06679956663394669
33726,17,8,17,0.03170939974171973
33726,22,8,22,0.05982584838751257
33741,16,14,16,0.28488268789051396
33741,19,4,19,0.12490210262564538
33741,19,6,19,0.01274368332633376
33741,19,7,19,0.09015299356717428
33742,9,8,9,0.1886465869952879
